expression	rel	p-value (log[10])
הפעלה מסגרת	attr	4.88271491662885
תלמיד ישיבה	attr	4.88271491662885
טקס זיכרון	attr	4.88271491662516
מפלגה רוב	attr	4.88244129014944
נציג אום	attr	4.86070425686444
אומה עולם	attr	4.86070425686443
קרוב משפחה	attr	4.82967002312446
הקמה משכן	attr	4.82967002312415
יתרה מס	attr	4.82812277814366
נמל תעופה	attr	4.82812277814366
תפוקה נפט	attr	4.82812277814366
עת ביקור	attr	4.82812277814254
מרכז חירום	attr	4.82716568612235
יחסים מין	attr	4.81588544835211
הליך תקינה	attr	4.815885448352
"יו""ר דירקטוריון"	attr	4.80689373313546
פרקליט מדינה	attr	4.80051431050189
עובד גוף	attr	4.79970679974732
מערך ועדה	attr	4.79970679974701
"דבר ד""ר"	attr	4.77074310381108
בחינה בגרות	attr	4.76881080271362
פיקוד צפון	attr	4.76881080271362
מחוז תל	attr	4.76881080270985
משרד אנרגיה	attr	4.76022735013803
אחרית יום	attr	4.74271438021145
משמעות דבר	attr	4.72874388734466
מנהיג קהילה	attr	4.70689745673613
פועל בניין	attr	4.70689745673495
סיום משחק	attr	4.70482511474145
תום משחק	attr	4.70482511474145
מסוף גבול	attr	4.70194228635787
עולם דימוי	attr	4.69888947368609
בעל אופי	attr	4.67029254412421
בעל כושר	attr	4.67029254412421
הפקה סרט	attr	4.66999210294768
מקרה רצח	attr	4.66999210294768
עלוב חיים	attr	4.6636790909731
חברה תעופה	attr	4.65725337567578
הודעה בנק	attr	4.64204510598887
ועידה מפלגה	attr	4.63959902835877
נושא העסקה	attr	4.63959902835572
אכיפה חוק	attr	4.63885550724807
חדר מנהל	attr	4.63033215466779
ועד תפעול	attr	4.61982561242164
אורח קבע	attr	4.61982561241917
חודש מאסר	attr	4.61982561241917
מחיר מים	attr	4.61861147534105
מנהל מרכז	attr	4.61076681371408
מכירה נשק	attr	4.61014393033233
קורבן טרור	attr	4.61014393033233
ניתוח לב	attr	4.58195899770893
מנהל מחלקה	attr	4.57488699749176
ספורט ארץ	attr	4.56837784872232
התאחדות קבלן	attr	4.56104322635277
סוכנות נסיעה	attr	4.56104322635277
אירוע הר	attr	4.56104322635034
מזכירות איגוד	attr	4.5587761413904
קרן יסוד	attr	4.5587761413893
שיעור התעמלות	attr	4.5587761413893
מכסה ייצור	attr	4.5473923379791
הצבה כוח	attr	4.54610145401117
מצבה כוח	attr	4.54610145401117
פריסה כוח	attr	4.54610145401117
קטע מאמר	attr	4.54528806450793
ארגון סוכן	attr	4.52767962717328
מפקד מרחב	attr	4.52767962717328
נטל מס	attr	4.52767962717195
פועל שטח	attr	4.52315024999775
ערב עיון	attr	4.52315024999408
בקשה רשות	attr	4.52102675553835
הנהלה התאחדות	attr	4.51912635167355
שר תחבורה	attr	4.51789103424258
ועדה כלכלה	attr	4.50119298035405
חדר אוכל	attr	4.48056294898183
דלת אלון	attr	4.46432881494438
"משרה יו""ר"	attr	4.46432881494438
חקר בחירות	attr	4.46230492029986
מושג קליטה	attr	4.4501308373056
מצוקה קליטה	attr	4.4501308373056
צעד קליטה	attr	4.4501308373056
ניצחון בכורה	attr	4.44412550814834
חבר תנועה	attr	4.44369750851464
בית חרושת	attr	4.43416342692446
תקופה מעצר	attr	4.42837902725924
"תשלום מע""ם"	attr	4.42837902725924
תשלום משכורת	attr	4.42837902725924
יצירה מסגרת	attr	4.41853245079709
עירייה בן	attr	4.4185324507955
"החלטה בג""ץ"	attr	4.41674626745677
יום היעדרות	attr	4.40437036275015
יום מחרת	attr	4.40437036275015
מתן הנחה	attr	4.38269984701732
תחנה מילוי	attr	4.37173135399127
חוף ים	attr	4.37173135399027
משחק מבחן	attr	4.36778873495873
תולדה עם	attr	4.36065792029622
שחרור איש	attr	4.35360573224663
אוצר מדינה	attr	4.3500599680011
המשך כיבוש	attr	4.33970300208112
מאמן נבחרת	attr	4.32750764924116
שלב תכנון	attr	4.32750764924116
טיסה שכר	attr	4.32368170512444
חוזה עבודה	attr	4.32209384547389
תום יום	attr	4.32048613960776
מנהל מקרקעין	attr	4.31565253263111
נושא מחיר	attr	4.31000152321497
יועץ ראש	attr	4.29475720897434
רצועה ביטחון	attr	4.28255642294187
פה חוק	attr	4.27325505608359
איש מערך	attr	4.2688303783947
חוסר ברירה	attr	4.26676768871157
חוסר התלהבות	attr	4.26676768871157
מליאה מועצה	attr	4.26646960304842
צורך הקמה	attr	4.25856789476743
ביטול החלטה	attr	4.25856789476609
חץ גמר	attr	4.24294970996905
קצבה ביטוח	attr	4.23965464952882
מקור הכנסה	attr	4.2308714598565
קצין צבא	attr	4.2308714598565
יכולת ביצוע	attr	4.23087145985225
עצם קיום	attr	4.23087145985225
ביטחון פנים	attr	4.20719535297228
שנה כסף	attr	4.20190785799018
מדליה כסף	attr	4.18785003069703
שמחה חיים	attr	4.18785003069703
רקע אירוע	attr	4.18511430235747
שחקן מפתח	attr	4.16155531060867
בת זמן	attr	4.15928243062564
בן שיח	attr	4.1337055289278
זמן מלחמה	attr	4.13091318820203
רכב חברה	attr	4.12013272173889
נושא משרה	attr	4.11820707294055
אגתנור גז	attr	4.11669467661749
תחום קו	attr	4.11552933450233
סעיף הסכם	attr	4.10152510228341
מלחמה עצמאות	attr	4.09733016937888
איש ציבור	attr	4.09591206300395
פה המלצה	attr	4.09068361999076
נציג דובר	attr	4.08458835298467
מסע הזדהות	attr	4.0799172227114
חץ שנה	attr	4.07223821422497
שחקן פועל	attr	4.0592736627194
זכות בחירה	attr	4.05363248514911
הודעה נשיא	attr	4.04743713577205
כלל מכירה	attr	4.04743713577205
בניין מגורים	attr	4.03481305809654
עבודה מחשב	attr	4.03176910889076
חבר לאום	attr	4.02763844179192
מועצה קריה	attr	4.00699308523219
מזכיר מדינה	attr	4.00001659449637
קבוצה הורה	attr	3.99986970155276
קבוצה מהגר	attr	3.99986970155276
כוכב משחק	attr	3.99986970154972
שוק עבודה	attr	3.99718068776807
הסתדרות עובד	attr	3.99486231620789
גל ים	attr	3.9928108783268
קו ייצור	attr	3.9928108783268
דובר קופה	attr	3.99281087832662
מרוצה שנה	attr	3.98682894499076
תשדיר בחירות	attr	3.98682894499076
נשיא קבלן	attr	3.98537187739486
