lemma	rel	p-value
מחלה	attr	1
ממד	attr	1
עודף	attr	1
צביעה	attr	1
שנה	rep	9.83E-17
משטרה	rep	3.76E-10
שבוע	rep	8.21E-10
ממשלה	rep	2.75E-09
קיבוץ	rep	1.84E-08
חודש	rep	2.05E-08
פועל	rep	1.3E-07
מדינה	rep	4.6E-07
אוצר	rep	3.48E-06
חלק	rep	5.78E-06
ספר	rep	1.11E-05
מסגרת	rep	1.21E-05
בחירות	rep	1.81E-05
דקה	rep	0.000186
עיתון	rep	0.000209
זמן	rep	0.000214
כסף	rep	0.000222
ביטחון	rep	0.000387
דירה	rep	0.00041
מוות	rep	0.000466
ערבי	rep	0.000466
שאלה	rep	0.000466
דין	rep	0.000489
עם	rep	0.000696
שם	rep	0.000853
נקודה	rep	0.000855
יום	rep	0.000898
דבר	rep	0.00128
מקום	rep	0.00177
רב	rep	0.00345
עיר	rep	0.00446
עובדה	rep	0.00572
ניסיון	rep	0.00611
ארץ	rep	0.0063
מהלך	rep	0.00739
שופט	rep	0.0119
תביעה	rep	0.0119
עבודה	rep	0.0124
השקעה	rep	0.0124
בנק	rep	0.0155
קשר	rep	0.0172
צד	rep	0.0203
שלטון	rep	0.0232
מקור	rep	0.0304
עולם	rep	0.0319
עין	rep	0.0335
לב	rep	0.0335
מנה	rep	0.0335
חייל	rep	0.0345
אפשרות	rep	0.0346
חקירה	rep	0.0346
חיים	rep	0.0363
שטח	rep	0.0404
רעיון	rep	0.0464
מחוז	rep	0.0469
דמות	rep	0.0487
יתרון	rep	0.0487
מים	rep	0.0505
תקן	rep	0.0505
נאשם	rep	0.0506
תעשייה	rep	0.0591
צעד	rep	0.0692
גן	rep	0.0708
סיור	rep	0.0708
עתיד	rep	0.0708
קול	rep	0.0708
קהל	rep	0.0726
עלייה	rep	0.0753
עירייה	rep	0.0797
רצון	rep	0.0957
הצלחה	rep	0.0973
פעילות	rep	0.0973
ביטוי	rep	0.101
מלך	rep	0.101
רופא	rep	0.101
מטבח	rep	0.103
ספורט	rep	0.103
ראייה	rep	0.103
דרום	rep	0.121
מקרה	rep	0.125
אוניברסיטה	rep	0.136
צפון	rep	0.136
אלימות	rep	0.145
אמנות	rep	0.145
השפעה	rep	0.145
התנהגות	rep	0.145
פגיעה	rep	0.145
צרכן	rep	0.145
ניצחון	rep	0.146
מידה	rep	0.146
ציבור	rep	0.146
יישוב	rep	0.147
תפקיד	rep	0.154
מאבק	rep	0.162
רוח	rep	0.183
בעיה	rep	0.184
גורם	rep	0.189
חומר	rep	0.192
כניסה	rep	0.206
מחצית	rep	0.206
נתון	rep	0.206
שער	rep	0.209
שפה	rep	0.21
תמונה	rep	0.21
כדור	rep	0.214
הגנה	rep	0.218
כוונה	rep	0.221
מצב	rep	0.238
משפחה	rep	0.241
מספר	rep	0.248
בנייה	rep	0.25
שיחה	rep	0.251
תוצאה	rep	0.255
חוק	rep	0.271
ביטוח	rep	0.275
מגרש	rep	0.275
מכירה	rep	0.275
תנועה	rep	0.285
טבלה	rep	0.289
חוב	rep	0.29
מאמר	rep	0.29
מבקר	rep	0.29
סרט	rep	0.301
מפעל	rep	0.323
צבא	rep	0.323
מחזור	rep	0.34
פרסום	rep	0.34
התקפה	rep	0.344
פעולה	rep	0.37
דוגמה	rep	0.381
לחץ	rep	0.381
אופי	rep	0.402
סגנון	rep	0.402
עבירה	rep	0.402
ציפוי	rep	0.402
ספרות	rep	0.405
פרק	rep	0.405
רצועה	rep	0.405
נבחרת	rep	0.415
רגש	rep	0.415
צבע	rep	0.417
כלל	rep	0.44
מסעדה	rep	0.454
אימון	rep	0.456
קבוצה	rep	0.461
סדרה	rep	0.496
בת	rep	0.499
מלחמה	rep	0.511
חשבון	rep	0.511
רחוב	rep	0.528
פרויקט	rep	0.528
מעמד	rep	0.531
אגודה	rep	0.553
טעות	rep	0.553
סל	rep	0.553
עדות	rep	0.553
שיר	rep	0.553
אולפן	rep	0.554
אמן	rep	0.554
הערכה	rep	0.554
הפגנה	rep	0.554
כיבוש	rep	0.554
משנה	rep	0.554
תואר	rep	0.554
מין	rep	0.559
ערך	rep	0.559
אירוע	rep	0.579
גוף	rep	0.579
פיתוח	rep	0.598
בקשה	rep	0.604
מכללה	rep	0.604
מנייה	rep	0.604
תרומה	rep	0.604
פתרון	rep	0.63
הסתדרות	rep	0.636
לקוח	rep	0.636
איש	rep	0.659
יוזמה	rep	0.664
מפלגה	rep	0.694
איגוד	rep	0.732
רצח	rep	0.732
ברירה	rep	0.75
גידול	rep	0.75
מענק	rep	0.75
רחבה	rep	0.75
תחרות	rep	0.75
בד	rep	0.752
דבק	rep	0.752
השוואה	rep	0.752
מערך	rep	0.752
תקרית	rep	0.752
פרס	rep	0.77
דיווח	rep	0.782
מצוקה	rep	0.782
משלחת	rep	0.782
סיכוי	rep	0.782
קושי	rep	0.782
תומך	rep	0.782
גיבור	rep	0.783
הלכה	rep	0.783
ייצוא	rep	0.783
מושל	rep	0.783
תכנון	rep	0.783
אוכלוסייה	rep	0.786
רגל	rep	0.786
רגע	rep	0.786
ייצור	rep	0.805
מוצר	rep	0.805
מסלול	rep	0.805
פרט	rep	0.805
בדיקה	rep	0.807
אורח	rep	0.821
אחוז	rep	0.821
מינוי	rep	0.821
תופעה	rep	0.821
משק	rep	0.823
צורה	rep	0.834
משבר	rep	0.835
מס	rep	0.844
דלת	rep	0.845
ישיבה	rep	0.845
סמכות	rep	0.845
מאמן	rep	0.861
תוכנית	rep	1
קרן	rep	1
פנים	rep	1
יכולת	rep	1
מטרה	rep	1
תושב	rep	1
מבנה	rep	1
שלב	rep	1
סיפור	rep	1
סמל	rep	1
שינוי	rep	1
הפסד	rep	1
טעם	rep	1
ביצה	rep	1
חוקר	rep	1
טקס	rep	1
כוכב	rep	1
כלכלה	rep	1
קופה	rep	1
קריה	rep	1
כבוד	rep	1
מדד	rep	1
נכס	rep	1
פיקוח	rep	1
שכונה	rep	1
ארוחה	rep	1
בוא	rep	1
ביקורת	rep	1
דירקטוריון	rep	1
הפרש	rep	1
הרכב	rep	1
זר	rep	1
זרוע	rep	1
לימודים	rep	1
מעבר	rep	1
מקצוע	rep	1
משמעות	rep	1
נייר	rep	1
נסיבה	rep	1
עונה	rep	1
עצמאות	rep	1
פעיל	rep	1
תקווה	rep	1
אלוף	rep	1
אקדח	rep	1
במאי	rep	1
הבדל	rep	1
הבנה	rep	1
הישג	rep	1
השתתפות	rep	1
חלל	rep	1
חשיבות	rep	1
טוב	rep	1
מבחן	rep	1
מוצא	rep	1
מלאכה	rep	1
ממצא	rep	1
מסורת	rep	1
מעלה	rep	1
מפתח	rep	1
מרק	rep	1
משתתף	rep	1
נאום	rep	1
נישואין	rep	1
סיבוב	rep	1
סיכון	rep	1
פס	rep	1
צומת	rep	1
קילוגרם	rep	1
רכב	rep	1
שולחן	rep	1
תיאטרון	rep	1
